ID,Active (0/1),Name *,"Categories (x,y,z…)",Visibility,Description,Available for order (0 = No 1 = Yes),Show price (0 = No  1 = Yes),Meta title,Meta Description,URL rewritten,Image
11,1,Skatepark Bessières,Skatepark 31 Haute-Garonne,both,"Skatepark Bessières 31 Haute-Garonne, Conception construction, Primo construction/ Béton France/ Sports des Villes, Skatepark polyvalent, 400m², 86 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Bessières 31 Haute-Garonne,"Skatepark Bessières 31 Haute-Garonne, Conception construction, Primo construction/ Béton France/ Sports des Villes, Skatepark polyvalent, 400m², 86 000€",skatepark-bessieres,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20160418_190213-min-1024x187.jpg
12,1,Skatepark Bretteville,Skatepark 50 Manche,both,"Skatepark Bretteville 50 Manche, Conception construction, GTN Bâtiment/ Sports des Villes, Streetpark, 217m², 50 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Bretteville 50 Manche,"Skatepark Bretteville 50 Manche, Conception construction, GTN Bâtiment/ Sports des Villes, Streetpark, 217m², 50 000€",skatepark-bretteville,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20160817_145021-min-1024x252.jpg
13,1,Skatepark Bruxellois,Skatepark Belgique,both,"Skatepark Bruxellois Belgique, Conception construction, L’escaut Architecture/ Collectif Brusk/ ASBL/ Doctor Skateparks, Street plaza, 4000m², 800 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Bruxellois Belgique,"Skatepark Bruxellois Belgique, Conception construction, L’escaut Architecture/ Collecti",skatepark-bruxelles,https://antidoteskateparks.fr/wp-content/uploads/2020/03/74_12102694530.jpg
14,1,Skatepark Cabourg,Skatepark 14 Calvados,both,"Skatepark Cabourg 14 Calvados, Conception Construction, RHL Constru/ Concrete Flow/ Collet TP/ Ingé-Infra/ SDV, Skatepark polyvalent, 536m², 170 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Cabourg 14 Calvados,"Skatepark Cabourg 14 Calvados, Conception Construction, RHL Constru/ Concrete Flow/ Collet TP/ Ingé-Infra/ SDV, Skatepark polyvalent, 536m², 170 000€",skatepark-cabourg,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20180418_152446-min-e1584626992353-1024x260.jpg
15,1,Skatepark Bruyères-le-Chatel,Skatepark 91 Essonne,both,"Skatepark Bruyères-le-Chatel 91 Essonne, Assistance à la maîtrise d'ouvrage, Services techniques de Bruyères-le-Chatel, Streetpark, 363m², 70 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Bruyères-le-Chatel 91 Essonne,"Skatepark Bruyères-le-Chatel 91 Essonne, Assistance à la maîtrise d'ouvrage, Services techniques de Bruyères-le-Chatel, Streetpark, 363m², 70 000€",skatepark-bruyeres-le-chatel,https://antidoteskateparks.fr/wp-content/uploads/2020/03/Skatepark-Bruyères-3-min-1024x598.jpg
16,1,Skatepark Caudry,Skatepark 59 Nord,both,"Skatepark Caudry 59 Nord, Assistance à la maîtrise d'oeuvre, Skatepark polyvalent, 577m² <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Caudry 59 Nord,"Skatepark Caudry 59 Nord, Assistance à la maîtrise d'oeuvre, Skatepark polyvalent, 577m²",skatepark-caudry,https://antidoteskateparks.fr/wp-content/uploads/2021/01/119644342_3358528927567835_2918251820114696326_o-Copie-1024x485.jpg
17,1,Skatepark Cernay,Skatepark 68 Haut-Rhin,both,"Skatepark Cernay 68 Haut-Rhin, Construction, Vertical Tecknic, Minirampe en béton + extension, 49 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Cernay 68 Haut-Rhin,"Skatepark Cernay 68 Haut-Rhin, Construction, Vertical Tecknic, Minirampe en béton + extension, 49 000€",skatepark-cernay,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20190711_092141-min-1024x498.jpg
18,1,Skatepark Campo Grande,Skatepark Brésil,both,"Skatepark Campo Grande Brésil, Conception construction, Rio Ramp Design/ Doctor Skateparks, Bowl Park, 850m² <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Campo Grande Brésil,"Skatepark Campo Grande Brésil, Conception construction, Rio Ramp Design/ Doctor Skateparks, Bowl Park, 850m²",skatepark-campo-grande,https://antidoteskateparks.fr/wp-content/uploads/2020/03/content_Vista_a_rea_Bonde_do_Pist_o.jpg
19,1,Skatepark Chenove,Skatepark 21 Côte-d'Or,both,"Skatepark Chenove 21 Côte-d'Or, Co-traitant MOE, Mayot-Toussain/ Antidote Skateparks, Streetpark, 165m², 110 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Chenove 21 Côte-d'Or,"Skatepark Chenove 21 Côte-d'Or, Co-traitant MOE, Mayot-Toussain/ Antidote Skateparks, Streetpark, 165m², 110 000€",skatepark-chenove,https://antidoteskateparks.fr/wp-content/uploads/2020/03/2018-10-08-Incrustation-SkatePark-min-1024x383.jpg
20,1,Skatepark Corbehem,Skatepark 62 Pas-de-Calais,both,"Skatepark Corbehem 62 Pas-de-Calais, Co-traitant MOE, Acanthe Architecture/ Sports des Villes, Streetpark, 325m², 100 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Corbehem 62 Pas-de-Calais,"Skatepark Corbehem 62 Pas-de-Calais, Co-traitant MOE, Acanthe Architecture/ Sports des Villes, Streetpark, 325m², 100 000€",skatepark-corbehem,https://antidoteskateparks.fr/wp-content/uploads/2020/03/pano-corbehem-min-1024x486.jpg
